L001038.spe,"257,61","5,74",1,"0,018136","-0,0037","0,0084","0,147","30,681,195","13,96",25,111,20,33,166,96,538,5147,0,317,0,57,200,17494,77,38,0,148,121,274,160,185,526,477,2578,42,1056,9,26,8,16,320,531,83,73,0,26383,7139
L001039.spe,"257,81","5,75",1,"0,018134","-0,0038","0,0083","0,147","2,902,343","14,6",28,98,36,85,129,28,448,4622,0,331,0,40,256,17253,154,89,0,93,34,0,129,118,440,352,2389,0,1147,0,0,0,18,322,677,0,0,0,26230,6876
L001040.spe,"258,01","5,75",1,"0,018137","-0,0039","0,0083","0,147","28,938,558","13,96",0,92,0,37,143,55,466,5065,6,384,28,35,261,18045,9,58,0,106,96,114,202,224,385,288,2454,189,1110,9,0,0,0,370,603,28,0,0,26195,7192
L001041.spe,"258,21","5,75",1,"0,018135","-0,004","0,0084","0,147","30,460,712","13,71",0,82,22,57,130,6,515,4989,0,403,18,88,271,18154,0,0,0,107,72,206,242,268,613,426,2374,148,1109,0,0,0,0,375,506,0,14,0,26683,7535
L001042.spe,"258,41","5,75",1,"0,018132","-0,0041","0,0086","0,147","30,941,432","14,39",17,50,0,93,127,0,532,5134,0,351,14,68,286,18301,166,45,0,65,68,149,205,300,600,381,2348,118,1234,0,0,0,0,379,514,30,17,48,27266,7639
L001043.spe,"258,61","5,74",1,"0,018136","-0,0042","0,0085","0,147","30,059,237","13,82",59,169,39,51,179,106,544,5853,8,395,15,66,231,19040,130,30,0,127,119,176,241,229,476,452,2053,0,1232,14,0,0,0,365,473,0,0,0,27104,7308
L001044.spe,"258,81","5,74",1,"0,018137","-0,0041","0,0083","0,147","30,034,245","13,73",34,89,0,0,118,47,486,4912,0,356,0,25,230,18451,122,67,0,171,92,174,199,58,490,370,2271,114,1087,19,39,0,0,308,503,0,0,57,27671,7355
L001045.spe,"259,01","5,74",1,"0,018134","-0,0043","0,0084","0,147","30,762,571","14,83",13,101,23,87,127,50,468,4641,0,376,41,74,276,19515,94,88,110,99,196,114,270,136,441,360,2045,202,970,0,0,0,0,291,588,0,0,0,27695,7420
L001046.spe,"259,21","5,74",1,"0,018133","-0,0044","0,0086","0,147","30,435,967","14,16",27,138,8,0,157,40,524,4286,0,356,32,72,289,19545,94,20,0,56,0,196,157,190,430,405,2311,97,1007,21,33,10,0,427,467,32,24,0,27976,7273
L001047.spe,"259,41","5,75",1,"0,018136","-0,0045","0,0084","0,147","31,543,772","13,25",90,126,32,0,132,73,510,4130,30,407,31,27,168,20062,134,0,0,133,88,242,227,258,511,424,2327,122,1098,21,61,0,0,358,511,0,73,37,27812,7530
